account,before_posts,before_likes,before_views,after_posts,after_likes,after_views
marketingmobil137.id,0,0,0,31,1040,8499
bosowaberlianurip,0,0,0,138,3758,34287
sunstarprimamotorfatmawati,2,140,2960,227,4959,33671
mitsubishibosowakairagimanado,0,0,0,180,1847,15784
atho_mitsubishiserang,0,0,0,59,129,511
dennymitsubishibukittinggi,1,104,1358,13,118,2454
rismamitsubishisolo,0,0,0,300,3337,16479
mitsubishicibubur.linda,0,0,0,37,908,9506
mobil_mitsubishi.co.id,2,62,424,56,2177,11713
bumenredjaabadi_sidoarjo,2,58,1207,41,136,3343
mitsubishidipo.arengka,0,0,0,181,3961,89398
mitsubishi_tangeranggg,2,16,0,46,1716,2223
dena_century,0,0,0,122,11746,250324
sunstarmotorkenjeran,0,0,0,52,505,2449
mitsubishi.gresik,0,0,0,249,932,1414
mitsubishimedan_melvin,1,70,0,107,2594,10433
halena_mitsubishibandung,0,0,0,71,21582,322953
salesmedioker.mdn,0,0,0,0,0,0
mitsubishi.dipopuri,0,0,0,0,0,0
ramdhan_mitsubishijakarta,0,0,0,0,0,0
halomitsubishi,0,0,0,0,0,0
sunstarmotorsurabaya,0,0,0,0,0,0
