account,Oct W4,Nov W1,Nov W2,Nov W3,Nov W4,Dec W1,Dec W2,Dec W3,Dec W4,Dec W5,Jan W1,Jan W2,Jan W3,Jan W4,Feb W1,Feb W2,Feb W3,Feb W4,Mar W1,Mar W2,Mar W3,Mar W4,Mar W5,Apr W1,Apr W2,Apr W3,Apr W4
atho_mitsubishiserang,0,0,0,2,0,0,5,8,1,7,0,2,6,0,0,5,7,17,4,6,15,3,0,0,4,3,0
bosowaberlianurip,0,18,148,0,0,1,115,0,38,19,0,0,53,154,69,370,67,0,85,5,129,4,16,95,60,419,3
bumenredjaabadi_sidoarjo,0,3,3,1,2,3,0,1,3,0,3,0,0,0,0,0,0,59,5,0,0,0,0,10,0,5,0
dena_century,0,9,259,0,2464,386,34,0,0,3,450,189,0,53,107,49,0,92,60,109,2145,160,110,75,111,425,63
dennymitsubishibukittinggi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
halena_mitsubishibandung,0,132,0,21,0,212,142,131,132,0,0,412,103,36,62,0,126,18227,285,163,343,269,152,284,0,0,0
halomitsubishi,0,22,19,21,11,119,6,25,7,17,6,0,8,0,1,0,0,5,0,4,7,0,0,0,0,0,0
marketingmobil137.id,0,0,21,0,32,524,0,25,42,21,0,0,0,0,0,57,0,17,84,14,0,0,0,0,0,0,0
mitsubishi.dipopuri,0,372,54,41,11,33,25,90,54,39,35,4,44,57,65,42,15,266,46,61,20,5,14,38,45,86,13
mitsubishi.gresik,0,13,18,11,9,9,42,47,19,3,7,8,37,8,9,53,16,16,15,33,8,15,16,2,17,8,12
mitsubishi_tangeranggg,0,0,4,0,0,0,19,0,0,5,0,2,8,3,14,22,43,0,25,11,4,3,5,0,0,0,11
mitsubishibosowakairagimanado,0,6,34,15,37,0,18,41,93,2,51,113,162,145,60,188,134,83,74,76,31,10,16,19,29,104,18
mitsubishicibubur.linda,0,0,0,12,0,0,0,0,0,0,31,0,23,0,0,22,0,0,0,0,0,0,0,0,17,0,0
mitsubishidipo.arengka,0,20,17,0,27,0,6,26,15,53,32,56,36,21,93,0,141,150,22,23,37,44,43,0,0,62,38
mitsubishimedan_melvin,11,70,0,63,47,93,138,36,0,104,186,40,99,101,62,49,70,153,77,322,64,107,28,44,57,159,17
mobil_mitsubishi.co.id,0,8,5,72,0,554,28,0,0,8,0,0,0,0,10,0,0,5,0,93,0,0,576,0,57,39,164
ramdhan_mitsubishijakarta,0,0,0,0,0,0,0,0,0,2,0,1,0,9,1,2,0,2,20,9,0,0,0,8,7,0,0
rismamitsubishisolo,15,52,86,84,92,59,54,45,51,71,60,84,81,52,40,44,62,53,52,60,28,62,42,41,41,41,19
salesmedioker.mdn,0,0,0,0,0,181,24,0,0,0,0,0,0,0,0,0,12,0,110,0,0,0,1119,0,0,0,0
sunstarmotorkenjeran,0,0,0,0,0,0,0,0,68,0,8,3,7,9,0,6,5,16,0,17,44,0,12,7,4,26,26
sunstarmotorsurabaya,0,0,1,0,0,17,39,6,25,6,34,29,12,35,32,25,30,12,19,93,13,0,20,15,3,99,22
sunstarprimamotorfatmawati,0,19,72,21,22,2,19,13,4,18,3,7,136,117,129,16,15,12,252,157,473,0,17,2,7,87,75
