account,Oct W4,Nov W1,Nov W2,Nov W3,Nov W4,Dec W1,Dec W2,Dec W3,Dec W4,Dec W5,Jan W1,Jan W2,Jan W3,Jan W4,Feb W1,Feb W2,Feb W3,Feb W4,Mar W1,Mar W2,Mar W3,Mar W4,Mar W5,Apr W1,Apr W2,Apr W3,Apr W4
atho_mitsubishiserang,0,0,0,2,0,0,2,3,1,4,0,1,2,0,0,2,3,9,1,2,5,2,0,0,2,1,0
bosowaberlianurip,0,6,5,0,0,5,3,0,2,4,0,0,1,14,2,5,2,0,6,1,2,1,1,6,1,10,2
bumenredjaabadi_sidoarjo,0,1,4,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,2,1,1,1
dena_century,0,1,2,0,3,5,2,0,0,1,4,4,0,1,3,3,0,4,3,5,5,6,4,4,6,9,5
dennymitsubishibukittinggi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
halena_mitsubishibandung,0,2,0,2,0,4,4,4,1,0,0,6,2,1,2,0,3,6,3,2,5,3,1,5,0,0,0
halomitsubishi,0,4,5,4,2,4,1,2,2,3,1,0,3,0,1,0,0,1,0,1,2,0,0,0,0,0,0
marketingmobil137.id,0,0,1,0,1,3,0,1,2,3,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0
mitsubishi.dipopuri,0,5,5,5,2,4,6,14,9,4,7,1,10,9,10,11,4,8,9,8,6,2,2,6,10,8,3
mitsubishi.gresik,0,4,7,4,3,3,8,10,5,1,2,3,8,3,3,13,4,4,4,8,3,4,4,1,8,3,4
mitsubishi_tangeranggg,0,0,1,0,0,0,3,0,0,2,0,1,1,1,2,2,2,0,2,1,2,1,1,0,0,0,2
mitsubishibosowakairagimanado,0,4,5,4,8,0,3,10,7,1,4,3,3,5,6,4,8,5,7,6,6,2,4,2,9,5,1
mitsubishicibubur.linda,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
mitsubishidipo.arengka,0,3,2,0,1,0,1,2,2,1,3,6,3,3,4,0,8,7,2,2,1,2,1,0,0,4,3
mitsubishimedan_melvin,1,2,0,2,2,4,9,2,0,4,5,3,7,3,2,3,3,3,4,5,3,2,3,2,2,6,1
mobil_mitsubishi.co.id,0,1,1,4,0,6,4,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,1,0,2,1,3
ramdhan_mitsubishijakarta,0,0,0,0,0,0,0,0,0,4,0,3,1,3,1,2,1,4,1,1,0,0,0,2,1,0,0
rismamitsubishisolo,2,6,8,8,9,8,9,8,8,10,7,6,5,5,5,5,6,7,6,9,5,7,7,7,8,7,4
salesmedioker.mdn,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
sunstarmotorkenjeran,0,0,0,0,0,0,0,0,6,0,1,1,1,2,0,2,2,5,0,3,5,0,3,2,1,3,1
sunstarmotorsurabaya,0,1,2,3,0,1,2,3,5,1,4,3,3,5,3,2,6,2,3,6,4,0,4,3,1,7,4
sunstarprimamotorfatmawati,0,2,6,3,5,1,4,2,1,2,1,2,5,8,8,3,3,2,5,6,8,0,3,1,3,6,2
