account,Oct W4,Nov W1,Nov W2,Nov W3,Nov W4,Dec W1,Dec W2,Dec W3,Dec W4,Dec W5,Jan W1,Jan W2,Jan W3,Jan W4,Feb W1,Feb W2,Feb W3,Feb W4,Mar W1,Mar W2,Mar W3,Mar W4,Mar W5,Apr W1,Apr W2,Apr W3,Apr W4
atho_mitsubishiserang,0,0,0,16,0,0,0,66,0,37,0,0,26,0,0,0,6,90,0,33,94,8,0,0,15,10,0
bosowaberlianurip,0,418,4545,0,0,30,1088,0,119,255,0,0,3075,1717,696,3722,836,0,1099,0,2415,117,0,1261,711,5778,0
bumenredjaabadi_sidoarjo,0,0,35,45,0,21,0,0,95,0,157,0,0,0,0,0,14,2195,114,0,0,0,0,88,0,255,21
dena_century,0,1552,17113,0,45030,0,284,0,0,0,2739,6524,0,0,1356,286,0,1510,573,3121,22107,1977,602,524,799,3702,1148
dennymitsubishibukittinggi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0
halena_mitsubishibandung,0,2711,0,692,0,4754,1062,3775,0,0,0,15327,402,1002,924,0,8023,237700,10603,3028,4828,4794,1854,10031,0,0,0
halomitsubishi,0,866,360,235,181,1477,76,881,123,184,51,0,34,0,0,0,0,24,0,38,17,0,0,0,0,0,0
marketingmobil137.id,0,0,572,0,637,3803,0,160,269,234,0,0,0,0,0,328,0,157,525,160,0,0,0,0,0,0,0
mitsubishi.dipopuri,0,20683,433,733,192,454,299,926,787,787,200,133,197,890,189,316,559,9559,1256,4241,389,0,234,429,331,1818,93
mitsubishi.gresik,0,47,26,14,21,23,37,39,86,14,24,20,44,13,16,24,23,35,34,0,47,27,24,0,37,21,13
mitsubishi_tangeranggg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,350,0,621,109,0,0,0,0,0,0,0
mitsubishibosowakairagimanado,0,0,110,56,400,0,0,163,549,0,539,1084,692,1616,879,860,1576,2241,552,715,433,0,66,0,0,848,500
mitsubishicibubur.linda,0,0,0,175,0,0,0,0,0,0,0,0,536,0,0,250,0,0,0,0,0,0,0,0,366,0,0
mitsubishidipo.arengka,0,373,152,0,0,0,0,214,0,0,496,1025,1001,271,1053,0,1965,2081,323,328,404,567,427,0,0,700,551
mitsubishimedan_melvin,0,0,0,0,0,0,43,0,0,1528,3543,0,316,1002,306,0,250,1429,252,703,0,107,145,0,0,314,269
mobil_mitsubishi.co.id,0,0,0,0,0,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,0,1457,0,1885,0,2197
ramdhan_mitsubishijakarta,0,0,0,0,0,0,0,0,0,0,0,5,0,111,39,108,11,86,90,283,0,0,0,225,125,0,0
rismamitsubishisolo,237,290,324,246,377,389,203,211,378,354,476,1593,314,258,236,264,215,419,208,1508,245,517,481,355,278,231,100
salesmedioker.mdn,0,0,0,0,0,19001,0,0,0,0,0,0,0,0,0,0,64,0,9048,0,0,0,2294,0,0,0,0
sunstarmotorkenjeran,0,0,0,0,0,0,0,0,274,0,0,48,65,107,0,55,0,0,0,77,325,0,0,0,0,0,149
sunstarmotorsurabaya,0,0,0,0,0,172,142,80,106,0,478,271,53,290,36,108,245,142,65,2211,0,0,137,67,0,855,103
sunstarprimamotorfatmawati,0,21,231,103,68,0,88,39,0,125,22,26,1194,317,1527,19,0,21,4546,1554,4947,0,173,0,43,1318,1228
